sample,true_pitch,true_note,pred_pitch,pred_note,Match
keyboard_acoustic_018-046-100,46,A#2,207.87749775597854,G#3,False
keyboard_acoustic_008-054-127,54,F#3,81.93668488545225,E2,False
keyboard_acoustic_010-048-100,48,C3,146.69293863984228,D3,False
keyboard_acoustic_001-046-050,46,A#2,116.57913145643033,A#2,True
keyboard_acoustic_003-050-100,50,D3,130.94243897292668,C3,False
keyboard_acoustic_015-052-127,52,E3,104.06691020489257,G#2,False
keyboard_acoustic_017-046-050,46,A#2,185.2810341516505,F#3,False
keyboard_acoustic_011-050-050,50,D3,164.84300495394683,E3,False
keyboard_acoustic_013-056-025,56,G#3,165.51356002896415,E3,False
keyboard_acoustic_014-044-025,44,G#2,185.50860796827692,F#3,False
keyboard_acoustic_005-044-127,44,G#2,146.84934407226928,D3,False
keyboard_acoustic_014-048-050,48,C3,130.81212733735066,C3,True
keyboard_acoustic_012-052-075,52,E3,104.19223298424718,G#2,False
keyboard_acoustic_008-046-075,46,A#2,130.68034289397892,C3,False
keyboard_acoustic_002-044-100,44,G#2,116.62728671806323,A#2,False
keyboard_acoustic_001-046-127,46,A#2,208.24812327478298,G#3,False
keyboard_acoustic_010-056-127,56,G#3,116.45610196730718,A#2,False
keyboard_acoustic_005-056-050,56,G#3,207.51624683103296,G#3,True
keyboard_acoustic_007-050-127,50,D3,146.68847436801337,D3,True
keyboard_acoustic_017-050-075,50,D3,293.8493251690235,D4,False
keyboard_acoustic_019-046-127,46,A#2,116.57275316762724,A#2,True
keyboard_acoustic_002-046-100,46,A#2,104.59229273110394,G#2,False
keyboard_acoustic_001-052-075,52,E3,131.27249451278797,C3,False
keyboard_acoustic_018-056-025,56,G#3,207.96130969281216,G#3,True
keyboard_acoustic_017-052-075,52,E3,146.7508222898541,D3,False
keyboard_acoustic_006-046-025,46,A#2,185.52948176001627,F#3,False
keyboard_acoustic_002-046-025,46,A#2,65.26462493982217,C2,False
keyboard_acoustic_006-044-127,44,G#2,103.98758691700057,G#2,True
keyboard_acoustic_008-050-050,50,D3,185.1034877913906,F#3,False
keyboard_acoustic_016-052-050,52,E3,164.84205647446902,E3,True
keyboard_acoustic_005-048-100,48,C3,103.74253503716918,G#2,False
keyboard_acoustic_020-050-127,50,D3,185.09921110828435,F#3,False
keyboard_acoustic_002-054-025,54,F#3,116.87086054264995,A#2,False
keyboard_acoustic_013-056-050,56,G#3,104.19358251224591,G#2,False
keyboard_acoustic_000-056-100,56,G#3,130.683260959666,C3,False
keyboard_acoustic_008-054-050,54,F#3,165.64409030138052,E3,False
keyboard_acoustic_007-044-075,44,G#2,208.01758949945958,G#3,False
keyboard_acoustic_009-048-127,48,C3,185.5086079691828,F#3,False
keyboard_acoustic_000-052-025,52,E3,116.80894861760125,A#2,False
keyboard_acoustic_007-048-025,48,C3,500.0,B4,False
keyboard_acoustic_012-056-025,56,G#3,146.65995399609034,D3,False
keyboard_acoustic_001-048-100,48,C3,208.40497276222857,G#3,False
keyboard_acoustic_018-044-050,44,G#2,164.97259687505277,E3,False
keyboard_acoustic_001-044-050,44,G#2,116.67498582819951,A#2,False
keyboard_acoustic_014-046-100,46,A#2,208.1613095107125,G#3,False
keyboard_acoustic_010-056-075,56,G#3,165.1370798128201,E3,False
keyboard_acoustic_018-054-100,54,F#3,185.31763267233185,F#3,True
keyboard_acoustic_011-056-050,56,G#3,116.86968470135892,A#2,False
keyboard_acoustic_015-050-075,50,D3,130.8973508942301,C3,False
keyboard_acoustic_001-056-127,56,G#3,104.1088271396685,G#2,False
keyboard_acoustic_001-050-127,50,D3,150.5140039431065,D3,True
keyboard_acoustic_012-054-050,54,F#3,73.4622654584985,D2,False
keyboard_acoustic_003-048-127,48,C3,207.76922588772288,G#3,False
keyboard_acoustic_009-054-050,54,F#3,185.47761439534793,F#3,True
keyboard_acoustic_012-044-025,44,G#2,116.60142455083567,A#2,False
keyboard_acoustic_009-052-100,52,E3,131.1338173299797,C3,False
keyboard_acoustic_005-050-050,50,D3,104.1560739604451,G#2,False
keyboard_acoustic_002-052-100,52,E3,185.0922416349767,F#3,False
keyboard_acoustic_008-048-075,48,C3,103.9439724981472,G#2,False
keyboard_acoustic_016-044-127,44,G#2,131.00269463483502,C3,False
keyboard_acoustic_001-054-100,54,F#3,81.93668488545225,E2,False
keyboard_acoustic_010-046-050,46,A#2,130.87971786937726,C3,False
keyboard_acoustic_003-054-025,54,F#3,104.2103648682903,G#2,False
keyboard_acoustic_008-044-075,44,G#2,130.92388701013243,C3,False
keyboard_acoustic_003-054-100,54,F#3,164.9866895497271,E3,False
keyboard_acoustic_000-048-050,48,C3,147.03585813605577,D3,False
keyboard_acoustic_009-044-050,44,G#2,185.53498266866558,F#3,False
keyboard_acoustic_007-050-075,50,D3,164.80475106526637,E3,False
keyboard_acoustic_011-054-127,54,F#3,185.1057164405883,F#3,True
keyboard_acoustic_002-056-100,56,G#3,73.3304435785509,D2,False
keyboard_acoustic_013-052-100,52,E3,103.83475587254557,G#2,False
keyboard_acoustic_010-052-127,52,E3,208.00400284699975,G#3,False
keyboard_acoustic_008-048-050,48,C3,116.98810460117573,A#2,False
keyboard_acoustic_015-052-075,52,E3,146.54739372423575,D3,False
keyboard_acoustic_018-048-100,48,C3,116.64866211890208,A#2,False
keyboard_acoustic_008-056-050,56,G#3,165.10435782382552,E3,False
keyboard_acoustic_010-056-025,56,G#3,207.86602432012216,G#3,True
keyboard_acoustic_016-048-127,48,C3,52.122602907540305,G#1,False
keyboard_acoustic_010-046-075,46,A#2,116.93724250742278,A#2,True
keyboard_acoustic_006-056-025,56,G#3,130.8735586158504,C3,False
keyboard_acoustic_011-046-050,46,A#2,185.16872085865333,F#3,False
keyboard_acoustic_010-052-050,52,E3,103.7870793989787,G#2,False
keyboard_acoustic_009-048-100,48,C3,131.2009209598968,C3,True
keyboard_acoustic_008-050-075,50,D3,165.16860203829668,E3,False
keyboard_acoustic_010-054-100,54,F#3,185.3053355416696,F#3,True
keyboard_acoustic_007-048-127,48,C3,104.21460562453103,G#2,False
keyboard_acoustic_003-056-025,56,G#3,130.8202691267578,C3,False
keyboard_acoustic_012-048-127,48,C3,164.78566437710546,E3,False
keyboard_acoustic_008-046-127,46,A#2,184.26165687122432,F#3,False
keyboard_acoustic_016-056-127,56,G#3,147.40451177302864,D3,False
keyboard_acoustic_001-048-025,48,C3,103.59467598117169,G#2,False
keyboard_acoustic_011-056-075,56,G#3,130.82906127781038,C3,False
keyboard_acoustic_009-052-025,52,E3,104.21183762135189,G#2,False
keyboard_acoustic_009-056-127,56,G#3,146.41743977685817,D3,False
keyboard_acoustic_016-044-075,44,G#2,116.740615286397,A#2,False
keyboard_acoustic_006-044-075,44,G#2,165.23328621662418,E3,False
keyboard_acoustic_003-048-100,48,C3,207.99482298840982,G#3,False
keyboard_acoustic_001-056-100,56,G#3,207.5918295848905,G#3,True
keyboard_acoustic_001-052-127,52,E3,116.11661564251017,A#2,False
keyboard_acoustic_007-054-100,54,F#3,147.04383754485292,D3,False
keyboard_acoustic_003-046-025,46,A#2,185.19953939852036,F#3,False
keyboard_acoustic_018-052-075,52,E3,208.0936299775661,G#3,False
keyboard_acoustic_005-054-025,54,F#3,165.07804328389102,E3,False
keyboard_acoustic_000-050-050,50,D3,130.84760875966285,C3,False
keyboard_acoustic_000-048-075,48,C3,103.89089097501613,G#2,False
keyboard_acoustic_006-046-050,46,A#2,116.81909487422693,A#2,True
keyboard_acoustic_006-054-075,54,F#3,116.44426781728382,A#2,False
keyboard_acoustic_013-052-127,52,E3,104.91794849322093,G#2,False
keyboard_acoustic_002-054-100,54,F#3,130.7126741492721,C3,False
keyboard_acoustic_006-046-127,46,A#2,169.64664302454773,F3,False
keyboard_acoustic_013-054-025,54,F#3,147.15519928106326,D3,False
keyboard_acoustic_011-052-050,52,E3,165.3159346553296,E3,True
keyboard_acoustic_015-048-100,48,C3,103.59467598117169,G#2,False
keyboard_acoustic_011-048-025,48,C3,208.14000307049287,G#3,False
keyboard_acoustic_011-046-075,46,A#2,116.70666236801344,A#2,True
keyboard_acoustic_012-046-025,46,A#2,146.1250443835787,D3,False
keyboard_acoustic_010-050-127,50,D3,207.7352969146342,G#3,False
keyboard_acoustic_012-044-075,44,G#2,116.60487932510812,A#2,False
keyboard_acoustic_012-048-075,48,C3,130.67365025734813,C3,True
keyboard_acoustic_016-050-100,50,D3,103.9133695643721,G#2,False
keyboard_acoustic_011-052-127,52,E3,130.858850503387,C3,False
keyboard_acoustic_007-048-100,48,C3,147.20888289191637,D3,False
keyboard_acoustic_014-056-050,56,G#3,185.1229560924486,F#3,False
keyboard_acoustic_010-054-127,54,F#3,165.0715289757095,E3,False
keyboard_acoustic_011-044-100,44,G#2,116.71782802331279,A#2,False
keyboard_acoustic_016-056-100,56,G#3,142.13171795217664,C#3,False
keyboard_acoustic_003-048-075,48,C3,208.1981792523759,G#3,False
keyboard_acoustic_003-050-025,50,D3,215.1842885317177,A3,False
keyboard_acoustic_001-048-127,48,C3,147.1096392361005,D3,False
keyboard_acoustic_003-052-075,52,E3,103.57156801946955,G#2,False
keyboard_acoustic_017-044-100,44,G#2,147.02817080188277,D3,False
keyboard_acoustic_017-056-025,56,G#3,115.58539644438562,A#2,False
keyboard_acoustic_019-050-025,50,D3,165.00224798995953,E3,False
keyboard_acoustic_008-048-100,48,C3,185.25451610324473,F#3,False
keyboard_acoustic_013-048-050,48,C3,147.2959812505068,D3,False
keyboard_acoustic_020-054-127,54,F#3,165.0220794711518,E3,False
keyboard_acoustic_000-046-100,46,A#2,103.78771891660948,G#2,False
keyboard_acoustic_002-046-050,46,A#2,134.5103976265484,C3,False
keyboard_acoustic_008-052-100,52,E3,104.21870165861793,G#2,False
keyboard_acoustic_019-056-025,56,G#3,343.7864858248318,F4,False
keyboard_acoustic_019-054-025,54,F#3,164.68671304678134,E3,False
keyboard_acoustic_007-044-100,44,G#2,65.51992335048095,C2,False
keyboard_acoustic_009-050-050,50,D3,116.45127284031969,A#2,False
keyboard_acoustic_015-054-075,54,F#3,207.90442963227395,G#3,False
keyboard_acoustic_006-050-050,50,D3,147.13939425182537,D3,True
keyboard_acoustic_020-048-127,48,C3,207.91943349419344,G#3,False
keyboard_acoustic_003-046-050,46,A#2,165.06698575989833,E3,False
keyboard_acoustic_018-044-025,44,G#2,116.75359134332288,A#2,False
keyboard_acoustic_019-054-050,54,F#3,146.91711625978377,D3,False
keyboard_acoustic_000-054-025,54,F#3,116.72713053551085,A#2,False
keyboard_acoustic_012-056-075,56,G#3,208.03157206275128,G#3,True
keyboard_acoustic_002-050-050,50,D3,147.13481268350114,D3,True
keyboard_acoustic_003-052-127,52,E3,103.67968876887463,G#2,False
keyboard_acoustic_019-052-075,52,E3,116.87021089574188,A#2,False
keyboard_acoustic_007-056-050,56,G#3,185.0905794006041,F#3,False
keyboard_acoustic_005-046-050,46,A#2,165.21157590560824,E3,False
keyboard_acoustic_006-056-100,56,G#3,208.59804322395826,G#3,True
keyboard_acoustic_014-048-127,48,C3,65.39523194807049,C2,False
keyboard_acoustic_001-050-075,50,D3,130.70959458453376,C3,False
keyboard_acoustic_002-048-100,48,C3,103.55854065353947,G#2,False
keyboard_acoustic_018-050-100,50,D3,184.5973354090521,F#3,False
keyboard_acoustic_006-052-050,52,E3,164.6309293509142,E3,True
keyboard_acoustic_000-052-100,52,E3,131.33090192799332,C3,False
keyboard_acoustic_019-052-100,52,E3,116.69913418205647,A#2,False
keyboard_acoustic_019-044-050,44,G#2,147.18561359424598,D3,False
keyboard_acoustic_017-048-127,48,C3,207.81497079371508,G#3,False
keyboard_acoustic_009-046-025,46,A#2,165.20313054108559,E3,False
keyboard_acoustic_000-044-075,44,G#2,130.90176222519725,C3,False
keyboard_acoustic_017-050-127,50,D3,103.69350308710266,G#2,False
keyboard_acoustic_017-054-075,54,F#3,185.004011627642,F#3,True
keyboard_acoustic_015-056-127,56,G#3,185.3865183493422,F#3,False
keyboard_acoustic_001-046-025,46,A#2,147.86660048779657,D3,False
keyboard_acoustic_006-052-127,52,E3,103.73993967592384,G#2,False
keyboard_acoustic_005-048-050,48,C3,116.79143235679123,A#2,False
keyboard_acoustic_014-052-075,52,E3,52.057676893274405,G#1,False
keyboard_acoustic_001-044-075,44,G#2,116.68949844663719,A#2,False
keyboard_acoustic_012-048-100,48,C3,104.32604385848757,G#2,False
keyboard_acoustic_003-044-127,44,G#2,65.27462768416109,C2,False
keyboard_acoustic_017-048-075,48,C3,207.99136612073698,G#3,False
keyboard_acoustic_007-044-127,44,G#2,147.07317588510017,D3,False
keyboard_acoustic_005-050-100,50,D3,185.66633466151288,F#3,False
keyboard_acoustic_014-044-100,44,G#2,146.61197528971206,D3,False
